device,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O
plate,,
wellmapId,1001,1002
sennum,1001,1002
measurement,Temperature,Temperature
13.57611,38.9,37.7
13.59278,38.9,37.65555555555556
13.60944,38.9,37.648
13.62611,38.9,37.65238095238095
13.64278,38.9,37.65
13.65944,38.9,37.650000000000006
13.67611,38.9,37.7
13.69278,38.9,37.7
13.70944,39,37.7
13.72611,39,37.7
13.74278,39,37.7
13.75944,39,37.7
13.77611,39,37.7
13.79278,39,37.7
13.80944,39,37.7
13.82611,39,37.7
13.84278,39,37.65384615384615
13.85944,39,37.650000000000006
13.87611,39,37.65769230769231
13.89278,39,37.666666666666664
13.90944,39,37.650000000000006
13.92611,39,37.7
13.94278,39,37.7
13.95944,39,37.7
13.97611,39,37.7
13.99278,39,37.7
14.00944,39,37.7
14.02611,39,37.7
14.04278,39,37.7
14.05944,39,37.7
14.07611,39,37.7
14.09278,39,37.7
14.10944,39,37.7
14.12611,39,37.7
14.14278,39,37.7
14.15944,39,37.7
14.17611,39,37.7
14.19278,39,37.7
14.20944,39,37.7
14.22611,39,37.7
14.24278,39,37.7
14.25944,39,37.7
14.27611,39,37.7
14.29278,39,37.7
14.30944,39,37.7
14.32611,39,37.666666666666664
14.34278,39,37.65
14.35944,39,37.7
14.37611,39,37.7
14.39278,39,37.7
14.40944,39,37.7
14.42611,39,37.650000000000006
14.44278,39,37.7
14.45944,39,37.650000000000006
14.47611,39,37.666666666666664
14.49278,39,37.650000000000006
14.50944,39,37.650000000000006
14.52611,39,37.650000000000006
14.54278,39,37.7
14.55944,39,37.7
14.57611,39,37.7
14.59278,39,37.7
14.60944,39,37.7
14.62611,39,37.7
14.64278,39,37.7
14.65944,39,37.7
14.67611,39,37.7
14.69278,39,37.7
14.70944,39,37.7
14.72611,39,37.7
14.74278,39,37.7
14.75944,39,37.7
14.77611,39,37.7
14.79278,39,37.7
14.80944,39,37.7
14.82611,39,37.65555555555556
14.84278,39,37.650000000000006
